Status,Title,URL,LocalFile,FileType,Size,LastModified,DownloadResult,Level,Referrer
"Saved","","http://www.edianpay.cn/templets/default/images/1a(8).png","../www.edianpay.cn\templets\default\images\1a(8).png","Images","13752","Mon, 12 Oct 2015 08:27:05 GMT","200 OK","1","http://www.edianpay.cn/"
"Saved","","http://www.edianpay.cn/templets/default/images/1a(11).png","../www.edianpay.cn\templets\default\images\1a(11).png","Images","25926","Mon, 12 Oct 2015 08:27:56 GMT","200 OK","1","http://www.edianpay.cn/"
"Saved","天津易点付网络科技有限公司是一家专业从事科技金融类PC软件手机客户端及网站开发运行销售于一体的新型高科技公司。","http://www.edianpay.cn/templets/default/images/about1.jpg","../www.edianpay.cn\templets\default\images\about1.jpg","Images","14540","Tue, 13 Oct 2015 05:31:43 GMT","200 OK","1","http://www.edianpay.cn/"
"Parsed","天津易点付-网络科技有限公司","http://www.edianpay.cn/a/xinwendongtai/2015/1010/1.html","../www.edianpay.cn\a\xinwendongtai\2015\1010\1.html","HTML","19448","Fri, 13 Nov 2015 05:50:29 GMT","200 OK","1","http://www.edianpay.cn/"
"Parsed","天津易点付-网络科技有限公司","http://www.edianpay.cn/a/xinwendongtai/2015/1010/2.html","../www.edianpay.cn\a\xinwendongtai\2015\1010\2.html","HTML","9820","Fri, 13 Nov 2015 05:50:29 GMT","200 OK","1","http://www.edianpay.cn/"
"Parsed","天津易点付-网络科技有限公司","http://www.edianpay.cn/a/xinwendongtai/2015/1010/3.html","../www.edianpay.cn\a\xinwendongtai\2015\1010\3.html","HTML","8912","Fri, 13 Nov 2015 05:50:29 GMT","200 OK","1","http://www.edianpay.cn/"
"Saved","","http://www.edianpay.cn/templets/default/images/1.png","../www.edianpay.cn\templets\default\images\1.png","Images","148208","Tue, 13 Oct 2015 02:45:08 GMT","200 OK","2","http://www.edianpay.cn/templets/default/css/cemian.css"
"Saved","","http://www.edianpay.cn/templets/default/images/bg.png","../www.edianpay.cn\templets\default\images\bg.png","Images","1053","Fri, 09 Oct 2015 06:59:54 GMT","200 OK","2","http://www.edianpay.cn/templets/default/css/cemian.css"
"Saved","","http://www.edianpay.cn/templets/default/images/close_03.jpg","../www.edianpay.cn\templets\default\images\close_03.jpg","Images","9290","Fri, 09 Oct 2015 06:59:54 GMT","200 OK","2","http://www.edianpay.cn/templets/default/css/cemian.css"
"Saved","","http://www.edianpay.cn/templets/default/images/tijiao_10.jpg","../www.edianpay.cn\templets\default\images\tijiao_10.jpg","Images","12118","Fri, 09 Oct 2015 06:59:54 GMT","200 OK","2","http://www.edianpay.cn/templets/default/css/cemian.css"
"Error","","http://www.edianpay.cn/templets/default/fonts/glyphicons-halflings-regular.eot","../www.edianpay.cn\templets\default\fonts\glyphicons-halflings-regular.eot","Unknown","0","","404 Not Found","2","http://www.edianpay.cn/templets/default/css/bootstrap_main_validationEngine.css"
"Error","","http://www.edianpay.cn/templets/default/fonts/glyphicons-halflings-regular.eot?","../www.edianpay.cn\templets\default\fonts\glyphicons-halflings-regular.eot�","HTML","0","","404 Not Found","2","http://www.edianpay.cn/templets/default/css/bootstrap_main_validationEngine.css"
